,text,named_ents,named_ents_nolabel,chunk,compounds,verbs,re_subtree,re_chunk_v_chunk,adj,adj_noun,preps,noun_pre_noun
609,"yeah,",[],[],[],[],[],"('', '', 'yeah')","('', 'yeah', '')",[],[],[],[]
610,I think — I do think it is time.,[],[],"['I', 'I', 'it', 'time']",[],"[think, think]","('it', '', 'think')","('I I it', 'think time', '')",[],[],[],[]
611,"Look, it is all words, it is all sound bites.",[],[],"['it', 'all words', 'it', 'sound bites']",['sound bites'],[Look],"('it', '', 'is')","('it it', 'word be bite', '')",[],[],[],[]
612,I built an unbelievable company.,[],[],"['I', 'an unbelievable company']",[],[built],"('I', 'unbelievable company', 'built')","('I', 'build unbelievable', 'company')",[unbelievable],['unbelievable company'],[],[]
613,"Some of the greatest assets anywhere in the world, real estate assets anywhere in the world, beyond the United States, in Europe, lots of different places.","[('the United States', 'GPE'), ('Europe', 'LOC')]","['the United States', 'Europe']","['the greatest assets', 'the world', 'real estate assets', 'the world', 'the United States', 'Europe', 'lots', 'different places']","['estate assets', 'United States']",[],"('', 'different places', 'Some')","('', 'some great real different', 'assets world world States Europe places')","[greatest, real, different]","['greatest assets', 'different places']","[of, in, in, beyond, in, of]","['greatest assets in world', 'lots of different places']"
614,it is an unbelievable company.,[],[],"['it', 'an unbelievable company']",[],[],"('it', '', 'is')","('it', 'be unbelievable company', '')",[unbelievable],[],[],[]
615,"But on occasion, four times, we used certain laws that are there.","[('four', 'CARDINAL')]",['four'],"['occasion', 'we', 'certain laws']",[],"[used, are]","('that', 'certain laws', 'used')","('we that', 'use certain', 'occasion laws')",[certain],['certain laws'],[on],[]
616,"And when Secretary Clinton talks about people that didn't get paid, first of all, they did get paid a lot, but taken advantage of the laws of the nation.","[('Clinton', 'PERSON'), ('first', 'ORDINAL')]","['Clinton', 'first']","['Secretary Clinton', 'people', 'they', 'a lot', 'advantage', 'the laws', 'the nation']",['Secretary Clinton'],"[talks, paid, paid, taken]","('nation', 'they', 'paid')","('Clinton that they', 'pay', 'people all lot advantage laws nation')",[],[],"[about, of, of, of]",['laws of nation']
617,"Now, if you want to change the laws, you've been there a long time, change the laws.",[],[],"['you', 'the laws', 'you', 'the laws']",[],"[want, change, been, change]","('you', 'laws', 'been')","('you you', 'be long', 'laws laws')",[long],[],[],[]
618,But I take advantage of the laws of the nation because I am running a company.,[],[],"['I', 'advantage', 'the laws', 'the nation', 'I', 'a company']",[],"[take, running]","('I', 'company', 'take')","('I I', 'take', 'advantage laws nation company')",[],[],"[of, of]",['laws of nation']
619,"My obligation right now is to do well for myself, my family, my employees, for my companies.",[],[],"['My obligation', 'myself', 'my employees', 'my companies']",[],[do],"('obligation', 'companies', 'is')","('obligation', 'be', 'myself companies')",[],[],[for],[]
620,And that's what I do.,[],[],"['what', 'I']",[],[do],"('I', 'what', ""'s"")","('that I', 'be', 'what')",[],[],[],[]
621,But what she doesn't say is that tens of thousands of people that are unbelievably happy and that love me.,"[('tens of thousands', 'CARDINAL')]",['tens of thousands'],"['what', 'she', 'that tens of thousands', 'people', 'me']",[],"[say, are, love]","('that', 'me', 'is')","('she say that that', 'be thousand', 'what people me')",[],[],[of],"['thousands of', 'thousands of people']"
622,I'll give you an example.,[],[],"['I', 'you', 'an example']",[],[give],"('I', 'example', 'give')","('I', 'give', 'example')",[],[],[],[]
623,"we are just opening up on Pennsylvania Avenue right next to the White House, so if I do not get there one way, I am going to get to Pennsylvania Avenue another.","[('Pennsylvania Avenue', 'FAC'), ('the White House', 'ORG'), ('one', 'CARDINAL'), ('Pennsylvania Avenue', 'FAC')]","['Pennsylvania Avenue', 'the White House', 'one', 'Pennsylvania Avenue']","['we', 'Pennsylvania Avenue', 'the White House', 'I', 'I', 'Pennsylvania Avenue']","['Pennsylvania Avenue', 'White House', 'Pennsylvania Avenue']","[opening, get, going, get]","('I', 'Pennsylvania Avenue', 'going')","('we I I', 'go', 'Avenue House Avenue')",[],[],"[on, to, to]",[]
624,But we are opening the Old Post Office.,"[('the Old Post Office', 'ORG')]",['the Old Post Office'],"['we', 'the Old Post Office']",['Old Post Office'],[opening],"('we', 'Post Office', 'opening')","('we', 'open', 'Office')",[],[],[],[]
625,"Under budget, ahead of schedule, saved tremendous money.",[],[],"['budget', 'schedule', 'tremendous money']",[],[saved],"('', 'tremendous money', 'saved')","('', 'save tremendous', 'budget schedule money')",[tremendous],['tremendous money'],"[Under, of]",[]
626,I am a year ahead of schedule.,"[('a year ahead', 'DATE')]",['a year ahead'],"['I', 'schedule']",[],[],"('I', 'schedule', 'am')","('I', 'be', 'schedule')",[],[],[of],[]
627,And that's what this country should be doing.,[],[],"['what', 'this country']",[],[doing],"('country', 'what', ""'s"")","('that country', 'be', 'what')",[],[],[],[]
628,We build roads and they cost two and three and four times what they are supposed to cost.,"[('two and three and four', 'CARDINAL')]",['two and three and four'],"['We', 'roads', 'they', 'two and three and four times', 'what', 'they']",[],"[build, cost, supposed, cost]","('what', 'they', 'build')","('We they they', 'build', 'roads times what')",[],[],[],[]
629,"We buy products for our military and they come in at costs that are so far above what they were supposed to be, because we do not have people that know what they are doing.",[],[],"['We', 'products', 'our military', 'they', 'costs', 'what', 'they', 'we', 'people', 'what', 'they']",[],"[buy, come, are, supposed, be, have, know, doing]","('what', 'they', 'buy')","('We they that they we that they', 'buy', 'products military costs what people what')",[],[],"[for, at, above]",[]
630,"When we look at the budget, the budget is bad to a large extent because we have people that have no idea as to what to do and how to buy.",[],[],"['we', 'the budget', 'the budget', 'a large extent', 'we', 'people', 'no idea', 'what']",[],"[look, have, have, do, buy]","('that', 'what', 'is')","('we budget we that', 'be large', 'budget extent people idea what')",[large],['large extent'],"[at, to, as, to]",['idea as']
631,The Trump International is way under budget and way ahead of schedule.,"[('The Trump International', 'ORG')]",['The Trump International'],"['The Trump International', 'budget', 'schedule']",['Trump International'],[],"('Trump International', 'schedule', 'is')","('International', 'be', 'budget schedule')",[],[],"[under, of]",[]
632,And we should be able to do that for our country.,[],[],"['we', 'our country']",[],"[be, do]","('we', 'country', 'be')","('we', 'be', 'that country')",[],[],[for],[]
633,  ,[],[],[],[],[],"('', '', '  ')","('', '', '')",[],[],[],[]
634,"Well, we are well behind schedule, so I want to move to our next segment.",[],[],"['we', 'schedule', 'I', 'our next segment']",[],"[want, move]","('I', 'next segment', 'are')","('we I', 'be next', 'schedule segment')",[next],['next segment'],"[behind, to]",[]
635,We move into our next segment talking about America's direction.,"[('America', 'GPE')]",['America'],"['We', 'our next segment', ""America's direction""]",[],"[move, talking]","('We', 'direction', 'move')","('We', 'move next', 'segment direction')",[next],['next segment'],"[into, about]",[]
636,And let's start by talking about race.,[],[],"[""'s"", 'race']",[],"[let, start, talking]","(""'s"", 'race', 'let')","(""'s"", 'let', 'race')",[],[],"[by, about]",[]
637,"The share of Americans who say race relations are bad in this country is the highest it is been in decades, much of it amplified by shootings of African-Americans by police, as we've seen recently in Charlotte and Tulsa.","[('Americans', 'NORP'), ('decades', 'DATE'), ('African-Americans', 'NORP'), ('Charlotte', 'GPE'), ('Tulsa', 'GPE')]","['Americans', 'decades', 'African-Americans', 'Charlotte', 'Tulsa']","['The share', 'Americans', 'who', 'race relations', 'this country', 'it', 'decades', 'it', 'shootings', 'African-Americans', 'police', 'we', 'Charlotte', 'Tulsa']","['race relations', 'African -']","[say, been, amplified, seen]","('Charlotte', 'we', 'is')","('share who relations it we', 'be high by', 'Americans country decades it shootings Americans police Charlotte')",[],['race relations'],"[of, in, in, of, of, by, in]","['share of Americans', 'shootings of African Americans', 'shootings by police']"
638,"Race has been a big issue in this campaign, and one of you is going to have to bridge a very wide and bitter gap.",[],[],"['Race', 'a big issue', 'this campaign', 'you', 'a very wide and bitter gap']",[],"[been, going, have, bridge]","('one', 'gap', 'been')","('Race one', 'be big issue wide', 'campaign you gap')","[big, wide]",['wide gap'],"[in, of]",['big issue in campaign']
639,So how do you heal the divide?,[],[],"['you', 'the divide']",[],[heal],"('you', 'divide', 'heal')","('you', 'heal', 'divide')",[],[],[],[]
640,"Secretary Clinton, you get two minutes on this.","[('Clinton', 'PERSON'), ('two minutes', 'TIME')]","['Clinton', 'two minutes']","['you', 'two minutes']",['Secretary Clinton'],[get],"('you', 'this', 'get')","('you', 'get', 'minutes this')",[],[],[on],['minutes on']
641,  ,[],[],[],[],[],"('', '', '  ')","('', '', '')",[],[],[],[]
642,"Well, you're right.",[],[],['you'],[],['re],"('you', '', ""'re"")","('you', 'be', '')",[],[],[],[]
643,Race remains a significant challenge in our country.,[],[],"['Race', 'a significant challenge', 'our country']",[],[remains],"('Race', 'country', 'remains')","('Race', 'remain significant challenge', 'country')",[significant],[],[in],['significant challenge in country']
644,"Unfortunately, race still determines too much, often determines where people live, determines what kind of education in their public schools they can get, and, yes, it determines how they are treated in the criminal justice system.",[],[],"['race', 'people', 'what kind', 'education', 'their public schools', 'they', 'it', 'they', 'the criminal justice system']",['justice system'],"[determines, determines, live, determines, get, determines, treated]","('justice system', 'they', 'determines')","('race people they it they', 'determine public criminal', 'much kind education schools system')","[public, criminal]","['public schools', 'justice system']","[of, in, in]","['kind of education', 'kind in public schools']"
645,We've just seen those two tragic examples in both Tulsa and Charlotte.,"[('two', 'CARDINAL'), ('Tulsa', 'GPE'), ('Charlotte', 'GPE')]","['two', 'Tulsa', 'Charlotte']","['We', 'those two tragic examples', 'both Tulsa', 'Charlotte']",[],[seen],"('We', 'Tulsa', 'seen')","('We', 'see tragic', 'examples Tulsa')",[tragic],['tragic examples'],[in],['tragic examples in Tulsa']
646,And we've got to do several things at the same time.,[],[],"['we', 'several things', 'the same time']",[],"[got, do]","('we', 'same time', 'got')","('we', 'get several same', 'things time')","[several, same]","['several things', 'same time']",[at],[]
647,We have to restore trust between communities and the police.,[],[],"['We', 'trust', 'communities', 'the police']",[],"[have, restore]","('We', 'communities', 'have')","('We', 'have', 'trust communities')",[],[],[between],['trust between communities']
648,"We have to work to make sure that our police are using the best training, the best techniques, that they are well prepared to use force only when necessary.",[],[],"['We', 'our police', 'the best training', 'the best techniques', 'they', 'force']",[],"[have, work, make, using, use]","('they', 'force', 'have')","('We police they', 'have good good', 'training force')","[best, best]",['best training'],[],[]
649,"Everyone should be respected by the law, and everyone should respect the law.",[],[],"['Everyone', 'the law', 'everyone', 'the law']",[],"[respected, respect]","('law', 'everyone', 'respected')","('Everyone everyone', 'respect by', 'law law')",[],[],[],[]
650,"  Right now, that's not the case in a lot of our neighborhoods.",[],[],"['the case', 'a lot', 'our neighborhoods']",[],[],"('that', 'neighborhoods', ""'s"")","('that', 'be case', 'lot neighborhoods')",[],[],"[in, of]",['lot of neighborhoods']
651,"So I have, ever since the first day of my campaign, called for criminal justice reform.","[('the first day', 'DATE')]",['the first day'],"['I', 'the first day', 'my campaign', 'criminal justice reform']",['justice reform'],"[have, called]","('I', 'justice reform', 'have')","('I', 'have first criminal', 'day campaign reform')","[first, criminal]","['first day', 'justice reform']","[since, of, for]",['first day of campaign']
652,I've laid out a platform that I think would begin to remedy some of the problems we have in the criminal justice system.,[],[],"['I', 'a platform', 'I', 'the problems', 'we', 'the criminal justice system']",['justice system'],"[laid, think, begin, remedy, have]","('we', 'justice system', 'laid')","('I that I we', 'lay criminal', 'platform some problems system')",[criminal],['justice system'],"[of, in]",[]
653,"But we also have to recognize, in addition to the challenges that we face with policing, there are so many good, brave police officers who equally want reform.",[],[],"['we', 'addition', 'the challenges', 'we', 'policing', 'so many good, brave police officers', 'who', 'reform']",['police officers'],"[have, recognize, face, want]","('who', 'reform', 'are')","('we we who', 'be many good brave officer', 'addition challenges that policing reform')","[many, good, brave]",[],"[in, to, with]",['addition to challenges']
654,So we have to bring communities together in order to begin working on that as a mutual goal.,[],[],"['we', 'communities', 'order', 'a mutual goal']",[],"[have, bring, begin, working]","('we', 'mutual goal', 'have')","('we', 'have mutual', 'communities order that goal')",[mutual],['mutual goal'],"[in, on, as]",[]
655,And we've got to get guns out of the hands of people who should not have them.,[],[],"['we', 'guns', 'the hands', 'people', 'who', 'them']",[],"[got, get, have]","('who', 'them', 'got')","('we who', 'get', 'guns hands people them')",[],[],"[out, of, of]",['hands of people']
656,"The gun epidemic is the leading cause of death of young African- American men, more than the next nine causes put together.","[('American', 'NORP')]",['American'],"['The gun epidemic', 'the leading cause', 'death', 'young African- American men', 'the next nine causes']",['gun epidemic'],"[leading, put]","('gun epidemic', 'causes', 'is')","('epidemic', 'be lead cause young american more next', 'death men causes')","[leading, young, American, more, next]","['gun epidemic', 'young American men', 'next causes']","[of, of, than]","['leading more cause of death', 'death of young American men']"
657,"So we have to do two things, as I said.","[('two', 'CARDINAL')]",['two'],"['we', 'two things', 'I']",[],"[have, do, said]","('I', 'things', 'have')","('we I', 'have', 'things')",[],[],[],[]
658,We have to restore trust.,[],[],"['We', 'trust']",[],"[have, restore]","('We', 'trust', 'have')","('We', 'have', 'trust')",[],[],[],[]
659,We have to work with the police.,[],[],"['We', 'the police']",[],"[have, work]","('We', 'police', 'have')","('We', 'have', 'police')",[],[],[with],[]
660,We have to make sure they respect the communities and the communities respect them.,[],[],"['We', 'they', 'the communities', 'the communities', 'them']",[],"[have, make, respect, respect]","('they', 'them', 'have')","('We they', 'have', 'communities them')",[],[],[],[]
661,"And we have to tackle the plague of gun violence, which is a big contributor to a lot of the problems that we are seeing today.","[('today', 'DATE')]",['today'],"['we', 'the plague', 'gun violence', 'a big contributor', 'a lot', 'the problems', 'we']",['gun violence'],"[have, tackle, is, seeing]","('we', 'that', 'have')","('we which we', 'have big contributor', 'plague violence lot problems that')",[big],['gun violence'],"[of, to, of]","['plague of gun violence', 'lot of problems']"
662,"  All right, Mr. Trump, you have two minutes.","[('Trump', 'PERSON'), ('two minutes', 'TIME')]","['Trump', 'two minutes']","['Mr. Trump', 'you', 'two minutes']",['Mr. Trump'],[have],"('you', 'minutes', 'have')","('you', 'have', 'minutes')",[],[],[],[]
663,How do you heal the divide?,[],[],"['you', 'the divide']",[],[heal],"('you', 'divide', 'heal')","('you', 'heal', 'divide')",[],[],[],[]
664,  ,[],[],[],[],[],"('', '', '  ')","('', '', '')",[],[],[],[]
665,"Well, first of all, Secretary Clinton doesn't want to use a couple of words, and that's law and order.","[('first', 'ORDINAL'), ('Clinton', 'PERSON')]","['first', 'Clinton']","['Secretary Clinton', 'a couple', 'words', 'law', 'order']",['Secretary Clinton'],"[want, use, 's]","('that', 'words', 'want')","('Clinton that', 'want law', 'all couple words')",[],[],"[of, of]",['couple of words']
666,And we need law and order.,[],[],"['we', 'law', 'order']",[],[need],"('we', 'law', 'need')","('we', 'need', 'law')",[],[],[],[]
667,"If we do not have it, we are not going to have a country.",[],[],"['we', 'it', 'we', 'a country']",[],"[have, going, have]","('we', 'country', 'going')","('we we', 'go', 'it country')",[],[],[],[]
668,"And when I look at what's going on in Charlotte, a city I love, a city where I have investments, when I look at what's going on throughout various parts of our country, whether it is — I mean, I can just keep naming them all day long — we need law and order in our country.","[('Charlotte', 'GPE')]",['Charlotte'],"['I', 'what', 'Charlotte', 'a city', 'I', 'a city', 'I', 'investments', 'I', 'what', 'various parts', 'our country', 'it', 'I', 'I', 'them', 'we', 'law', 'order', 'our country']",[],"[look, going, love, have, look, going, is, mean, keep, naming, need]","('we', 'country', 'need')","('I what I I I what it I I we', 'various need', 'Charlotte investments parts country them law country')",[various],['various parts'],"[at, in, at, throughout, of, in]","['various parts of country', 'law in country']"
669,"I just got today the, as you know, the endorsement of the Fraternal Order of Police, we just — just came in.","[('today', 'DATE'), ('the Fraternal Order of Police', 'ORG')]","['today', 'the Fraternal Order of Police']","['I', 'you', 'the endorsement', 'the Fraternal Order', 'Police', 'we']",['Fraternal Order'],"[got, know, came]","('we', 'Police', 'came')","('I you we', 'come', 'the endorsement Order Police')",[],['Fraternal Order'],"[of, of]","['endorsement of Fraternal Order', 'Fraternal Order of Police']"
670,"We have endorsements from, I think, almost every police group, very — I mean, a large percentage of them in the United States.","[('the United States', 'GPE')]",['the United States'],"['We', 'endorsements', 'I', 'almost every police group', 'I', 'them', 'the United States']","['police group', 'United States']","[have, think, mean]","('I', 'United States', 'have')","('We I I', 'have large', 'endorsements group them States')",[large],['police group'],"[from, of, in]","['endorsements from police group', 'large percentage of', 'large percentage in United States']"
671,"We have a situation where we have our inner cities, African- Americans, Hispanics are living in he'll because it is so dangerous.","[('Americans', 'NORP'), ('Hispanics', 'NORP')]","['Americans', 'Hispanics']","['We', 'a situation', 'we', 'our inner cities', 'African- Americans', 'Hispanics', 'he', 'it']",['African- Americans'],"[have, have, living, is]","('it', 'inner cities', ""'ll"")","('We we Hispanics he it', ""inner 'll"", 'situation cities')",[inner],['inner cities'],[in],[]
672,"You walk down the street, you get shot.",[],[],"['You', 'the street', 'you']",[],"[walk, shot]","('street', 'you', 'shot')","('You you', 'shoot', 'street')",[],[],[down],[]
673,"In Chicago, they've had thousands of shootings, thousands since January 1st.","[('Chicago', 'GPE'), ('thousands', 'CARDINAL'), ('thousands', 'CARDINAL'), ('January 1st', 'DATE')]","['Chicago', 'thousands', 'thousands', 'January 1st']","['Chicago', 'they', 'thousands', 'shootings', 'thousands', 'January 1st']",['January 1st'],[had],"('they', 'January 1st', 'had')","('they', 'have', 'Chicago thousands shootings thousands 1st')",[],['January 1st'],"[In, of, since]",['thousands of shootings']
674,Thousands of shootings.,"[('Thousands', 'CARDINAL')]",['Thousands'],"['Thousands', 'shootings']",[],[],"('', 'shootings', 'Thousands')","('', 'thousand', 'shootings')",[],[],[of],['Thousands of shootings']
675,"And I am saying, where is this?",[],[],['I'],[],[saying],"('this', '', 'saying')","('I this', 'say', '')",[],[],[],[]
676,Is this a war-torn country?,[],[],['a war-torn country'],[],[torn],"('this', '', 'Is')","('this', 'be tear country', '')",[torn],[],[],[]
677,What are we doing?,[],[],"['What', 'we']",[],[doing],"('we', 'What', 'doing')","('we', 'do', 'What')",[],[],[],[]
678,And we have to stop the violence.,[],[],"['we', 'the violence']",[],"[have, stop]","('we', 'violence', 'have')","('we', 'have', 'violence')",[],[],[],[]
679,We have to bring back law and order.,[],[],"['We', 'law', 'order']",[],"[have, bring]","('We', 'law', 'have')","('We', 'have', 'law')",[],[],[],[]
680,"In a place like Chicago, where thousands of people have been killed, thousands over the last number of years, in fact, almost 4,000 have been killed since Barack Obama became president, over — almost 4,000 people in Chicago have been killed.","[('Chicago', 'GPE'), ('thousands', 'CARDINAL'), ('thousands', 'CARDINAL'), ('years', 'DATE'), ('almost 4,000', 'CARDINAL'), ('Barack Obama', 'PERSON'), ('almost 4,000', 'CARDINAL'), ('Chicago', 'GPE')]","['Chicago', 'thousands', 'thousands', 'years', 'almost 4,000', 'Barack Obama', 'almost 4,000', 'Chicago']","['a place', 'Chicago', 'thousands', 'people', 'thousands', 'the last number', 'years', 'fact', 'Barack Obama', 'president', 'almost 4,000 people', 'Chicago']",['Barack Obama'],"[killed, killed, became, killed]","('Chicago', 'people', 'killed')","('thousands thousands 4,000 Obama people', 'last kill president', 'place Chicago people number years fact Chicago')",[last],['last number'],"[In, like, of, over, of, in, in]","['place like Chicago', 'thousands of people', 'thousands over last number', 'last number of years', 'people in Chicago']"
681,We have to bring back law and order.,[],[],"['We', 'law', 'order']",[],"[have, bring]","('We', 'law', 'have')","('We', 'have', 'law')",[],[],[],[]
682,"Now, whether or not in a place like Chicago you do stop and frisk, which worked very well, Mayor Giuliani is here, worked very well in New York.","[('Chicago', 'GPE'), ('Giuliani', 'PERSON'), ('New York', 'GPE')]","['Chicago', 'Giuliani', 'New York']","['a place', 'Chicago', 'you', 'Mayor Giuliani', 'New York']","['Mayor Giuliani', 'New York']","[stop, worked, worked]","('Mayor Giuliani', 'New York', 'is')","('you which Giuliani', 'be', 'place Chicago York')",[],[],"[in, like, in]",['place like Chicago']
683,It brought the crime rate way down.,[],[],"['It', 'the crime rate']",['crime rate'],[brought],"('It', 'crime rate', 'brought')","('It', 'bring', 'rate')",[],['crime rate'],[],[]
684,But you take the gun away from criminals that shouldn't be having it.,[],[],"['you', 'the gun', 'criminals', 'it']",[],"[take, having]","('that', 'it', 'take')","('you that', 'take', 'gun criminals it')",[],[],[from],[]
685,We have gangs roaming the street.,[],[],"['We', 'gangs', 'the street']",[],"[have, roaming]","('We', 'street', 'have')","('We', 'have', 'gangs street')",[],[],[],[]
686,"And in many cases, they are illegally here, illegal immigrants.",[],[],"['many cases', 'they', 'illegal immigrants']",[],[],"('they', 'many cases', 'are')","('they', 'many be illegal immigrant', 'cases')","[many, illegal]",['many cases'],[in],[]
687,And they have guns.,[],[],"['they', 'guns']",[],[have],"('they', 'guns', 'have')","('they', 'have', 'guns')",[],[],[],[]
688,And they shoot people.,[],[],"['they', 'people']",[],[shoot],"('they', 'people', 'shoot')","('they', 'shoot', 'people')",[],[],[],[]
689,And we have to be very strong.,[],[],['we'],[],"[have, be]","('we', '', 'have')","('we', 'have', '')",[],[],[],[]
690,And we have to be very vigilant.,[],[],['we'],[],"[have, be]","('we', '', 'have')","('we', 'have', '')",[],[],[],[]
691,We have to be — we have to know what we are doing.,[],[],"['We', 'we', 'what', 'we']",[],"[have, be, have, know, doing]","('we', 'what', 'have')","('We we we', 'have', 'what')",[],[],[],[]
692,"Right now, our police, in many cases, are afraid to do anything.",[],[],"['our police', 'many cases', 'anything']",[],[do],"('police', 'anything', 'are')","('police', 'many be', 'cases anything')",[many],['many cases'],[in],[]
693,"We have to protect our inner cities, because African-American communities are being decimated by crime, decimated.","[('African-American', 'NORP')]",['African-American'],"['We', 'our inner cities', 'African-American communities', 'crime']",[],"[have, protect, decimated, decimated]","('crime', 'American communities', 'have')","('We communities', 'have inner african american by', 'cities crime')","[inner, African, American]","['inner cities', 'American communities']",[],[]
694,"  Your two — your two minutes expired, but I do want to follow up.","[('two', 'CARDINAL'), ('two minutes', 'TIME')]","['two', 'two minutes']","['your two minutes', 'I']",[],"[expired, want, follow]","('I', '', 'expired')","('minutes I', 'expire', '')",[],[],[],[]
695,"Stop-and-frisk was ruled unconstitutional in New York, because it largely singled out black and Hispanic young men.","[('New York', 'GPE'), ('Hispanic', 'NORP')]","['New York', 'Hispanic']","['-frisk', 'New York', 'it', 'black and Hispanic young men']",['New York'],"[Stop, ruled, singled]","('young men', 'it', 'Stop')","('frisk it', 'stop black young', 'York men')","[black, young]",['black young men'],[in],[]
696,  ,[],[],[],[],[],"('', '', '  ')","('', '', '')",[],[],[],[]
697,"No, you're wrong.",[],[],['you'],[],['re],"('you', '', ""'re"")","('you', 'be', '')",[],[],[],[]
698,"It went before a judge, who was a very against-police judge.",[],[],"['It', 'a judge', 'who', 'police']",[],"[went, was]","('who', 'police', 'went')","('It who', 'go very judge', 'judge police')",[very],[],[before],['very judge against police']
699,It was taken away from her.,[],[],"['It', 'her']",[],[taken],"('her', 'It', 'taken')","('It', 'take', 'her')",[],[],[from],[]
700,"And our mayor, our new mayor, refused to go forward with the case.",[],[],"['our mayor', 'our new mayor', 'the case']",[],"[refused, go]","('mayor', 'case', 'refused')","('mayor', 'new refuse', 'case')",[new],[],[with],[]
701,They would have won an appeal.,[],[],"['They', 'an appeal']",[],[won],"('They', 'appeal', 'won')","('They', 'win', 'appeal')",[],[],[],[]
702,"If you look at it, throughout the country, there are many places where it is allowed.",[],[],"['you', 'it', 'the country', 'many places', 'it']",[],"[look, allowed]","('country', 'it', 'are')","('you it', 'be many place', 'it country')",[many],[],"[at, throughout]",[]
703,  The argument is that it is a form of racial profiling.,[],[],"['The argument', 'it', 'a form', 'racial profiling']",[],[],"('it', 'racial profiling', 'is')","('argument it', 'be form racial', 'profiling')",[racial],['racial profiling'],[of],['form of racial profiling']
704,  ,[],[],[],[],[],"('', '', '  ')","('', '', '')",[],[],[],[]
705,"No, the argument is that we have to take the guns away from these people that have them and they are bad people that shouldn't have them.",[],[],"['the argument', 'we', 'the guns', 'these people', 'them', 'they', 'bad people', 'them']",[],"[have, take, have, are, have]","('that', 'them', 'is')","('argument we that they that', 'be bad people', 'guns people them them')",[bad],[],[from],[]
706,These are felons.,[],[],['felons'],[],[],"('These', '', 'are')","('These', 'be felon', '')",[],[],[],[]
707,"These are people that are bad people that shouldn't be — when you have 3,000 shootings in Chicago from January 1st, when you have 4,000 people killed in Chicago by guns, from the beginning of the presidency of Barack Obama, his hometown, you have to have stop-and-frisk.","[('3,000', 'CARDINAL'), ('Chicago', 'GPE'), ('January 1st', 'DATE'), ('4,000', 'CARDINAL'), ('Chicago', 'GPE'), ('Barack Obama', 'PERSON')]","['3,000', 'Chicago', 'January 1st', '4,000', 'Chicago', 'Barack Obama']","['people', 'bad people', 'you', '3,000 shootings', 'Chicago', 'January 1st', 'you', '4,000 people', 'Chicago', 'guns', 'the beginning', 'the presidency', 'Barack Obama', 'his hometown', 'you']","['January 1st', 'Barack Obama']","[are, be, have, have, killed, have, have, stop]","('you', 'Barack Obama', 'have')","('These that that you you you', 'people bad people by have', 'shootings Chicago 1st people Chicago guns beginning presidency Obama')",[bad],['January 1st'],"[in, from, in, from, of, of]","['shootings in Chicago', 'beginning of presidency', 'presidency of Barack Obama']"
708,You need more police.,[],[],"['You', 'more police']",[],[need],"('You', 'more police', 'need')","('You', 'need more', 'police')",[more],['more police'],[],[]
709,"You need a better community, you know, relation.",[],[],"['You', 'a better community', 'you']",[],"[need, know]","('you', 'better community', 'relation')","('You you', 'well relation', 'community')",[better],['better community'],[],[]
710,You do not have good community relations in Chicago.,"[('Chicago', 'GPE')]",['Chicago'],"['You', 'good community relations', 'Chicago']",['community relations'],[have],"('You', 'Chicago', 'have')","('You', 'have good', 'relations Chicago')",[good],['good community relations'],[in],['good community relations in Chicago']
711,it is terrible.,[],[],['it'],[],[],"('it', '', 'is')","('it', 'be', '')",[],[],[],[]
712,I have property there.,[],[],"['I', 'property']",[],[have],"('I', 'property', 'have')","('I', 'have', 'property')",[],[],[],[]
713,it is terrible what's going on in Chicago.,"[('Chicago', 'GPE')]",['Chicago'],"['it', 'what', 'Chicago']",[],[going],"('what', 'Chicago', 'is')","('it what', 'be', 'Chicago')",[],[],[in],[]
714,"But when you look — and Chicago's not the only — you go to Ferguson, you go to so many different places.","[('Chicago', 'GPE'), ('Ferguson', 'PERSON')]","['Chicago', 'Ferguson']","['you', 'Chicago', 'you', 'Ferguson', 'you', 'so many different places']",[],"[look, go, go]","('you', 'different places', 'go')","('you Chicago you you', 'go many different', 'Ferguson places')","[many, different]",['many different places'],"[to, to]",[]
715,You need better relationships.,[],[],"['You', 'better relationships']",[],[need],"('You', 'better relationships', 'need')","('You', 'need well', 'relationships')",[better],['better relationships'],[],[]
716,I agree with Secretary Clinton on this.,"[('Clinton', 'PERSON')]",['Clinton'],"['I', 'Secretary Clinton']",['Secretary Clinton'],[agree],"('I', 'this', 'agree')","('I', 'agree', 'Clinton this')",[],[],"[with, on]",[]
717,"  You need better relationships between the communities and the police, because in some cases, it is not good.",[],[],"['You', 'better relationships', 'the communities', 'the police', 'some cases', 'it']",[],"[need, is]","('it', 'cases', 'need')","('You it', 'need well', 'relationships communities cases')",[better],['better relationships'],"[between, in]",['better relationships between communities']
718,"But you look at Dallas, where the relationships were really studied, the relationships were really a beautiful thing, and then five police officers were killed one night very violently.","[('Dallas', 'GPE'), ('five', 'CARDINAL'), ('one night', 'TIME')]","['Dallas', 'five', 'one night']","['you', 'Dallas', 'the relationships', 'the relationships', 'a beautiful thing', 'five police officers']",['police officers'],"[look, studied, killed]","('Dallas', 'police officers', 'were')","('you relationships relationships officers', 'be beautiful thing', 'Dallas')",[beautiful],['police officers'],[at],[]
719,So there's some bad things going on.,[],[],['some bad things'],[],[going],"('', '', ""'s"")","('', 'be bad thing', '')",[bad],[],[],[]
